"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Lumensyvyys [cm]"
"Halsua kk","1971","3","19","02:00","3.8","58"
"Halsua kk","1971","3","20","02:00","0.8","62"
"Halsua kk","1971","3","21","02:00","1.4","62"
"Halsua kk","1971","3","22","02:00","3.4","64"
"Halsua kk","1971","3","23","02:00","4.9","65"
"Halsua kk","1971","3","24","02:00","7.8","70"
"Halsua kk","1971","3","25","02:00","4","95"
"Halsua kk","1971","3","26","02:00","3.5","95"
"Halsua kk","1971","3","27","02:00","1.9","95"
"Halsua kk","1971","3","28","02:00","0.5","95"
"Halsua kk","1971","3","29","02:00","-1","93"
"Halsua kk","1971","3","30","02:00","-1","85"
"Halsua kk","1971","3","31","02:00","-1","85"
"Halsua kk","1971","4","1","02:00","-1","85"
"Halsua kk","1971","4","2","02:00","-1","83"
"Halsua kk","1971","4","3","02:00","-1","83"
"Halsua kk","1971","4","4","02:00","-1","78"
"Halsua kk","1971","4","5","02:00","-1","78"
"Halsua kk","1971","4","6","02:00","-1","75"
"Halsua kk","1971","4","7","02:00","1","75"
"Halsua kk","1971","4","8","02:00","10","70"
"Halsua kk","1971","4","9","02:00","-1","65"
"Halsua kk","1971","4","10","02:00","-1","65"
"Halsua kk","1971","4","11","02:00","1","65"
"Halsua kk","1971","4","12","02:00","0.2","60"
"Halsua kk","1971","4","13","02:00","-1","60"
"Halsua kk","1971","4","14","02:00","-1","60"
"Halsua kk","1971","4","15","02:00","-1","60"
"Halsua kk","1971","4","16","02:00","-1","58"
"Halsua kk","1971","4","17","02:00","2.9","52"
"Halsua kk","1971","4","18","02:00","2.8","50"
"Halsua kk","1971","4","19","02:00","-1","45"
"Halsua kk","1971","4","20","02:00","6","43"
"Halsua kk","1971","4","21","02:00","-1","40"
"Halsua kk","1971","4","22","02:00","-1","39"
"Halsua kk","1971","4","23","02:00","-1","35"
"Halsua kk","1971","4","24","02:00","0.6","35"
"Halsua kk","1971","4","25","02:00","-1","34"
"Halsua kk","1971","4","26","02:00","-1","34"
"Halsua kk","1971","4","27","02:00","-1","34"
"Halsua kk","1971","4","28","02:00","0.2","34"
"Halsua kk","1971","4","29","02:00","-1","34"
"Halsua kk","1971","4","30","02:00","-1","32"
"Halsua kk","1971","5","1","02:00","0.2","30"
"Halsua kk","1971","5","2","02:00","2.1","27"
"Halsua kk","1971","5","3","02:00","-1","20"
"Halsua kk","1971","5","4","02:00","-1","16"
"Halsua kk","1971","5","5","02:00","-1","10"
"Halsua kk","1971","5","6","02:00","-1","5"
"Halsua kk","1971","5","7","02:00","-1","0"
"Halsua kk","1971","5","8","02:00","-1","0"
"Halsua kk","1971","5","9","02:00","-1","0"
"Halsua kk","1971","5","10","02:00","1.6","0"
"Halsua kk","1971","5","11","02:00","0.8","0"
"Halsua kk","1971","5","12","02:00","-1","0"
"Halsua kk","1971","5","13","02:00","-1","-1"
"Halsua kk","1971","5","14","02:00","-1","-1"
"Halsua kk","1971","5","15","02:00","2.6","-1"
"Halsua kk","1971","5","16","02:00","3","-1"
"Halsua kk","1971","5","17","02:00","0.3","-1"
"Halsua kk","1971","5","18","02:00","0.4","-1"
"Halsua kk","1971","5","19","02:00","0.4","-1"
"Halsua kk","1971","5","20","02:00","10.8","-1"
"Halsua kk","1971","5","21","02:00","0.8","-1"
"Halsua kk","1971","5","22","02:00","-1","-1"
"Halsua kk","1971","5","23","02:00","-1","-1"
"Halsua kk","1971","5","24","02:00","-1","-1"
"Halsua kk","1971","5","25","02:00","-1","-1"
"Halsua kk","1971","5","26","02:00","-1","-1"
"Halsua kk","1971","5","27","02:00","-1","-1"
"Halsua kk","1971","5","28","02:00","-1","-1"
"Halsua kk","1971","5","29","02:00","-1","-1"
"Halsua kk","1971","5","30","02:00","-1","-1"
"Halsua kk","1971","5","31","02:00","-1","-1"
"Halsua kk","1971","6","1","02:00","-1","-1"
"Halsua kk","1971","6","2","02:00","-1","-1"
"Halsua kk","1971","6","3","02:00","-1","-1"
"Halsua kk","1971","6","4","02:00","-1","-1"
"Halsua kk","1971","6","5","02:00","-1","-1"
"Halsua kk","1971","6","6","02:00","-1","-1"
"Halsua kk","1971","6","7","02:00","-1","-1"
"Halsua kk","1971","6","8","02:00","3.3","-1"
"Halsua kk","1971","6","9","02:00","-1","-1"
"Halsua kk","1971","6","10","02:00","-1","-1"
"Halsua kk","1971","6","11","02:00","-1","-1"
"Halsua kk","1971","6","12","02:00","-1","-1"
"Halsua kk","1971","6","13","02:00","-1","-1"
"Halsua kk","1971","6","14","02:00","-1","-1"
"Halsua kk","1971","6","15","02:00","3.3","-1"
"Halsua kk","1971","6","16","02:00","-1","-1"
"Halsua kk","1971","6","17","02:00","2.2","-1"
"Halsua kk","1971","6","18","02:00","-1","-1"
"Halsua kk","1971","6","19","02:00","-1","-1"
"Halsua kk","1971","6","20","02:00","1.4","-1"
"Halsua kk","1971","6","21","02:00","-1","-1"
"Halsua kk","1971","6","22","02:00","-1","-1"
"Halsua kk","1971","6","23","02:00","-1","-1"
"Halsua kk","1971","6","24","02:00","-1","-1"
"Halsua kk","1971","6","25","02:00","9.7","-1"
"Halsua kk","1971","6","26","02:00","-1","-1"
"Halsua kk","1971","6","27","02:00","9","-1"
"Halsua kk","1971","6","28","02:00","3.9","-1"
"Halsua kk","1971","6","29","02:00","-1","-1"
"Halsua kk","1971","6","30","02:00","-1","-1"
"Halsua kk","1971","7","1","02:00","-1","-1"
"Halsua kk","1971","7","2","02:00","-1","-1"
"Halsua kk","1971","7","3","02:00","-1","-1"
"Halsua kk","1971","7","4","02:00","-1","-1"
"Halsua kk","1971","7","5","02:00","-1","-1"
"Halsua kk","1971","7","6","02:00","1.3","-1"
"Halsua kk","1971","7","7","02:00","-1","-1"
"Halsua kk","1971","7","8","02:00","-1","-1"
"Halsua kk","1971","7","9","02:00","-1","-1"
"Halsua kk","1971","7","10","02:00","-1","-1"
"Halsua kk","1971","7","11","02:00","-1","-1"
"Halsua kk","1971","7","12","02:00","6.2","-1"
"Halsua kk","1971","7","13","02:00","0","-1"
"Halsua kk","1971","7","14","02:00","0.2","-1"
"Halsua kk","1971","7","15","02:00","-1","-1"
"Halsua kk","1971","7","16","02:00","1.2","-1"
"Halsua kk","1971","7","17","02:00","0.8","-1"
"Halsua kk","1971","7","18","02:00","0.1","-1"
"Halsua kk","1971","7","19","02:00","-1","-1"
"Halsua kk","1971","7","20","02:00","-1","-1"
"Halsua kk","1971","7","21","02:00","-1","-1"
"Halsua kk","1971","7","22","02:00","2.4","-1"
"Halsua kk","1971","7","23","02:00","-1","-1"
"Halsua kk","1971","7","24","02:00","-1","-1"
"Halsua kk","1971","7","25","02:00","-1","-1"
"Halsua kk","1971","7","26","02:00","1.3","-1"
"Halsua kk","1971","7","27","02:00","-1","-1"
"Halsua kk","1971","7","28","02:00","-1","-1"
"Halsua kk","1971","7","29","02:00","-1","-1"
"Halsua kk","1971","7","30","02:00","-1","-1"
"Halsua kk","1971","7","31","02:00","8.5","-1"
"Halsua kk","1971","8","1","02:00","12","-1"
"Halsua kk","1971","8","2","02:00","-1","-1"
"Halsua kk","1971","8","3","02:00","0.1","-1"
"Halsua kk","1971","8","4","02:00","0","-1"
"Halsua kk","1971","8","5","02:00","3.2","-1"
"Halsua kk","1971","8","6","02:00","0.2","-1"
"Halsua kk","1971","8","7","02:00","0.7","-1"
"Halsua kk","1971","8","8","02:00","6.4","-1"
"Halsua kk","1971","8","9","02:00","0.2","-1"
"Halsua kk","1971","8","10","02:00","4.4","-1"
"Halsua kk","1971","8","11","02:00","-1","-1"
"Halsua kk","1971","8","12","02:00","11.7","-1"
"Halsua kk","1971","8","13","02:00","-1","-1"
"Halsua kk","1971","8","14","02:00","37","-1"
"Halsua kk","1971","8","15","02:00","2.7","-1"
"Halsua kk","1971","8","16","02:00","7.6","-1"
"Halsua kk","1971","8","17","02:00","0.5","-1"
"Halsua kk","1971","8","18","02:00","-1","-1"
"Halsua kk","1971","8","19","02:00","-1","-1"
"Halsua kk","1971","8","20","02:00","-1","-1"
"Halsua kk","1971","8","21","02:00","-1","-1"
"Halsua kk","1971","8","22","02:00","-1","-1"
"Halsua kk","1971","8","23","02:00","-1","-1"
"Halsua kk","1971","8","24","02:00","0.2","-1"
"Halsua kk","1971","8","25","02:00","-1","-1"
"Halsua kk","1971","8","26","02:00","-1","-1"
"Halsua kk","1971","8","27","02:00","2","-1"
"Halsua kk","1971","8","28","02:00","2.4","-1"
"Halsua kk","1971","8","29","02:00","1.9","-1"
"Halsua kk","1971","8","30","02:00","0.2","-1"
"Halsua kk","1971","8","31","02:00","0.2","-1"
"Halsua kk","1971","9","1","02:00","0.7","-1"
"Halsua kk","1971","9","2","02:00","16.4","-1"
"Halsua kk","1971","9","3","02:00","1.8","-1"
"Halsua kk","1971","9","4","02:00","-1","-1"
"Halsua kk","1971","9","5","02:00","0.9","-1"
"Halsua kk","1971","9","6","02:00","0.7","-1"
"Halsua kk","1971","9","7","02:00","-1","-1"
"Halsua kk","1971","9","8","02:00","-1","-1"
"Halsua kk","1971","9","9","02:00","-1","-1"
"Halsua kk","1971","9","10","02:00","-1","-1"
"Halsua kk","1971","9","11","02:00","15.9","-1"
"Halsua kk","1971","9","12","02:00","0.7","-1"
"Halsua kk","1971","9","13","02:00","2.1","-1"
"Halsua kk","1971","9","14","02:00","0.3","-1"
"Halsua kk","1971","9","15","02:00","1.2","-1"
"Halsua kk","1971","9","16","02:00","-1","-1"
"Halsua kk","1971","9","17","02:00","0.8","-1"
"Halsua kk","1971","9","18","02:00","8.1","-1"
"Halsua kk","1971","9","19","02:00","13.5","-1"
"Halsua kk","1971","9","20","02:00","0","-1"
"Halsua kk","1971","9","21","02:00","0.9","-1"
"Halsua kk","1971","9","22","02:00","0.1","-1"
"Halsua kk","1971","9","23","02:00","-1","-1"
"Halsua kk","1971","9","24","02:00","1.4","-1"
"Halsua kk","1971","9","25","02:00","11.9","-1"
"Halsua kk","1971","9","26","02:00","0.1","-1"
"Halsua kk","1971","9","27","02:00","-1","-1"
"Halsua kk","1971","9","28","02:00","-1","-1"
"Halsua kk","1971","9","29","02:00","-1","-1"
"Halsua kk","1971","9","30","02:00","4.9","-1"
"Halsua kk","1971","10","1","02:00","-1","-1"
"Halsua kk","1971","10","2","02:00","-1","-1"
"Halsua kk","1971","10","3","02:00","-1","-1"
"Halsua kk","1971","10","4","02:00","1.1","-1"
"Halsua kk","1971","10","5","02:00","-1","-1"
"Halsua kk","1971","10","6","02:00","8.5","-1"
"Halsua kk","1971","10","7","02:00","0.6","-1"
"Halsua kk","1971","10","8","02:00","-1","-1"
"Halsua kk","1971","10","9","02:00","5.6","-1"
"Halsua kk","1971","10","10","02:00","3.9","3"
"Halsua kk","1971","10","11","02:00","-1","0"
"Halsua kk","1971","10","12","02:00","-1","-1"
"Halsua kk","1971","10","13","02:00","1.9","-1"
"Halsua kk","1971","10","14","02:00","0","1"
"Halsua kk","1971","10","15","02:00","-1","1"
"Halsua kk","1971","10","16","02:00","1.3","1"
"Halsua kk","1971","10","17","02:00","1.7","-1"
"Halsua kk","1971","10","18","02:00","4.3","-1"
"Halsua kk","1971","10","19","02:00","2.7","-1"
"Halsua kk","1971","10","20","02:00","9.8","-1"
"Halsua kk","1971","10","21","02:00","3.2","-1"
"Halsua kk","1971","10","22","02:00","-1","-1"
"Halsua kk","1971","10","23","02:00","-1","-1"
"Halsua kk","1971","10","24","02:00","1.3","-1"
"Halsua kk","1971","10","25","02:00","3.8","2"
"Halsua kk","1971","10","26","02:00","0","1"
"Halsua kk","1971","10","27","02:00","1.3","1"
"Halsua kk","1971","10","28","02:00","-1","-1"
"Halsua kk","1971","10","29","02:00","-1","-1"
"Halsua kk","1971","10","30","02:00","0.4","-1"
"Halsua kk","1971","10","31","02:00","0.3","-1"
"Halsua kk","1971","11","1","02:00","3.8","-1"
"Halsua kk","1971","11","2","02:00","5.8","-1"
"Halsua kk","1971","11","3","02:00","0.7","-1"
"Halsua kk","1971","11","4","02:00","-1","-1"
"Halsua kk","1971","11","5","02:00","-1","-1"
"Halsua kk","1971","11","6","02:00","-1","-1"
"Halsua kk","1971","11","7","02:00","-1","-1"
"Halsua kk","1971","11","8","02:00","2.4","-1"
"Halsua kk","1971","11","9","02:00","1","5"
"Halsua kk","1971","11","10","02:00","1.7","5"
"Halsua kk","1971","11","11","02:00","0.4","5"
"Halsua kk","1971","11","12","02:00","0.3","5"
"Halsua kk","1971","11","13","02:00","6.7","5"
"Halsua kk","1971","11","14","02:00","4","10"
"Halsua kk","1971","11","15","02:00","1","10"
"Halsua kk","1971","11","16","02:00","6.5","10"
"Halsua kk","1971","11","17","02:00","0.8","28"
"Halsua kk","1971","11","18","02:00","-1","28"
"Halsua kk","1971","11","19","02:00","-1","28"
"Halsua kk","1971","11","20","02:00","0.3","28"
"Halsua kk","1971","11","21","02:00","6.1","28"
"Halsua kk","1971","11","22","02:00","1.2","30"
"Halsua kk","1971","11","23","02:00","-1","32"
"Halsua kk","1971","11","24","02:00","-1","32"
"Halsua kk","1971","11","25","02:00","1.8","32"
"Halsua kk","1971","11","26","02:00","3","32"
"Halsua kk","1971","11","27","02:00","0.6","30"
"Halsua kk","1971","11","28","02:00","0","25"
"Halsua kk","1971","11","29","02:00","-1","23"
"Halsua kk","1971","11","30","02:00","-1","15"
"Halsua kk","1971","12","1","02:00","3.6","15"
"Halsua kk","1971","12","2","02:00","0","15"
"Halsua kk","1971","12","3","02:00","0.5","15"
"Halsua kk","1971","12","4","02:00","1.5","15"
"Halsua kk","1971","12","5","02:00","-1","10"
"Halsua kk","1971","12","6","02:00","0.4","10"
"Halsua kk","1971","12","7","02:00","-1","10"
"Halsua kk","1971","12","8","02:00","-1","10"
"Halsua kk","1971","12","9","02:00","-1","10"
"Halsua kk","1971","12","10","02:00","4.1","10"
"Halsua kk","1971","12","11","02:00","1.7","15"
"Halsua kk","1971","12","12","02:00","1.3","20"
"Halsua kk","1971","12","13","02:00","1.9","20"
"Halsua kk","1971","12","14","02:00","0.2","25"
"Halsua kk","1971","12","15","02:00","1.9","25"
"Halsua kk","1971","12","16","02:00","-1","25"
"Halsua kk","1971","12","17","02:00","-1","25"
"Halsua kk","1971","12","18","02:00","7.6","25"
"Halsua kk","1971","12","19","02:00","0.1","29"
"Halsua kk","1971","12","20","02:00","-1","29"
"Halsua kk","1971","12","21","02:00","6.6","28"
"Halsua kk","1971","12","22","02:00","3.6","32"
"Halsua kk","1971","12","23","02:00","2","38"
"Halsua kk","1971","12","24","02:00","2.3","38"
"Halsua kk","1971","12","25","02:00","3.4","38"
"Halsua kk","1971","12","26","02:00","4.5","38"
"Halsua kk","1971","12","27","02:00","-1","38"
"Halsua kk","1971","12","28","02:00","-1","38"
"Halsua kk","1971","12","29","02:00","-1","38"
"Halsua kk","1971","12","30","02:00","-1","38"
"Halsua kk","1971","12","31","02:00","-1","38"
"Halsua kk","1972","1","1","02:00","-1","37"
"Halsua kk","1972","1","2","02:00","0.8","36"
"Halsua kk","1972","1","3","02:00","-1","36"
"Halsua kk","1972","1","4","02:00","-1","36"
"Halsua kk","1972","1","5","02:00","-1","36"
"Halsua kk","1972","1","6","02:00","-1","36"
"Halsua kk","1972","1","7","02:00","-1","36"
"Halsua kk","1972","1","8","02:00","-1","35"
"Halsua kk","1972","1","9","02:00","-1","35"
"Halsua kk","1972","1","10","02:00","-1","35"
"Halsua kk","1972","1","11","02:00","0.2","35"
"Halsua kk","1972","1","12","02:00","0.5","35"
"Halsua kk","1972","1","13","02:00","0.2","36"
"Halsua kk","1972","1","14","02:00","0.7","36"
"Halsua kk","1972","1","15","02:00","-1","36"
"Halsua kk","1972","1","16","02:00","-1","36"
"Halsua kk","1972","1","17","02:00","-1","36"
"Halsua kk","1972","1","18","02:00","0.2","36"
"Halsua kk","1972","1","19","02:00","1","36"
"Halsua kk","1972","1","20","02:00","0.9","36"
"Halsua kk","1972","1","21","02:00","7.4","37"
"Halsua kk","1972","1","22","02:00","2.2","46"
"Halsua kk","1972","1","23","02:00","0.1","46"
"Halsua kk","1972","1","24","02:00","-1","46"
"Halsua kk","1972","1","25","02:00","-1","46"
"Halsua kk","1972","1","26","02:00","-1","46"
"Halsua kk","1972","1","27","02:00","-1","46"
"Halsua kk","1972","1","28","02:00","-1","46"
"Halsua kk","1972","1","29","02:00","-1","46"
"Halsua kk","1972","1","30","02:00","-1","46"
"Halsua kk","1972","1","31","02:00","4.1","46"
"Halsua kk","1972","2","1","02:00","0.8","47"
"Halsua kk","1972","2","2","02:00","-1","47"
"Halsua kk","1972","2","3","02:00","-1","47"
"Halsua kk","1972","2","4","02:00","-1","47"
"Halsua kk","1972","2","5","02:00","-1","47"
"Halsua kk","1972","2","6","02:00","1","48"
"Halsua kk","1972","2","7","02:00","2.1","48"
"Halsua kk","1972","2","8","02:00","4.6","48"
"Halsua kk","1972","2","9","02:00","0.6","52"
"Halsua kk","1972","2","10","02:00","6.6","53"
"Halsua kk","1972","2","11","02:00","0.7","59"
"Halsua kk","1972","2","12","02:00","-1","59"
"Halsua kk","1972","2","13","02:00","4.6","59"
"Halsua kk","1972","2","14","02:00","5.6","59"
"Halsua kk","1972","2","15","02:00","-1","61"
"Halsua kk","1972","2","16","02:00","-1","61"
"Halsua kk","1972","2","17","02:00","-1","61"
"Halsua kk","1972","2","18","02:00","-1","61"
"Halsua kk","1972","2","19","02:00","-1","61"
"Halsua kk","1972","2","20","02:00","-1","61"
"Halsua kk","1972","2","21","02:00","-1","61"
"Halsua kk","1972","2","22","02:00","-1","61"
"Halsua kk","1972","2","23","02:00","-1","61"
"Halsua kk","1972","2","24","02:00","-1","61"
"Halsua kk","1972","2","25","02:00","-1","61"
"Halsua kk","1972","2","26","02:00","-1","61"
"Halsua kk","1972","2","27","02:00","-1","61"
"Halsua kk","1972","2","28","02:00","-1","61"
"Halsua kk","1972","2","29","02:00","-1","61"
"Halsua kk","1972","3","1","02:00","-1","61"
"Halsua kk","1972","3","2","02:00","-1","61"
"Halsua kk","1972","3","3","02:00","-1","60"
"Halsua kk","1972","3","4","02:00","-1","59"
"Halsua kk","1972","3","5","02:00","-1","59"
"Halsua kk","1972","3","6","02:00","-1","58"
"Halsua kk","1972","3","7","02:00","-1","58"
"Halsua kk","1972","3","8","02:00","-1","57"
"Halsua kk","1972","3","9","02:00","-1","57"
"Halsua kk","1972","3","10","02:00","-1","57"
"Halsua kk","1972","3","11","02:00","-1","57"
"Halsua kk","1972","3","12","02:00","0.2","54"
"Halsua kk","1972","3","13","02:00","-1","51"
"Halsua kk","1972","3","14","02:00","-1","46"
"Halsua kk","1972","3","15","02:00","-1","44"
"Halsua kk","1972","3","16","02:00","-1","43"
"Halsua kk","1972","3","17","02:00","-1","43"
"Halsua kk","1972","3","18","02:00","-1","42"
"Halsua kk","1972","3","19","02:00","-1","41"
"Halsua kk","1972","3","20","02:00","-1","40"
"Halsua kk","1972","3","21","02:00","1.6","40"
"Halsua kk","1972","3","22","02:00","1","40"
"Halsua kk","1972","3","23","02:00","-1","40"
"Halsua kk","1972","3","24","02:00","0.7","40"
"Halsua kk","1972","3","25","02:00","0.8","40"
"Halsua kk","1972","3","26","02:00","-1","40"
"Halsua kk","1972","3","27","02:00","2","40"
"Halsua kk","1972","3","28","02:00","2.9","47"
"Halsua kk","1972","3","29","02:00","1","48"
"Halsua kk","1972","3","30","02:00","2.9","49"
"Halsua kk","1972","3","31","02:00","0.2","49"
"Halsua kk","1972","4","1","02:00","-1","49"
"Halsua kk","1972","4","2","02:00","-1","48"
"Halsua kk","1972","4","3","02:00","-1","47"
"Halsua kk","1972","4","4","02:00","-1","47"
"Halsua kk","1972","4","5","02:00","0.3","46"
"Halsua kk","1972","4","6","02:00","5.4","45"
"Halsua kk","1972","4","7","02:00","1.1","42"
"Halsua kk","1972","4","8","02:00","-1","40"
"Halsua kk","1972","4","9","02:00","8.8","39"
"Halsua kk","1972","4","10","02:00","0.4","37"
"Halsua kk","1972","4","11","02:00","0.2","37"
"Halsua kk","1972","4","12","02:00","-1","37"
"Halsua kk","1972","4","13","02:00","5.1","32"
"Halsua kk","1972","4","14","02:00","-1","28"
"Halsua kk","1972","4","15","02:00","-1","24"
"Halsua kk","1972","4","16","02:00","-1","20"
"Halsua kk","1972","4","17","02:00","-1","16"
"Halsua kk","1972","4","18","02:00","-1","13"
"Halsua kk","1972","4","19","02:00","-1","10"
"Halsua kk","1972","4","20","02:00","-1","6"
"Halsua kk","1972","4","21","02:00","3","4"
"Halsua kk","1972","4","22","02:00","0.3","0"
"Halsua kk","1972","4","23","02:00","0.5","0"
"Halsua kk","1972","4","24","02:00","0.4","0"
"Halsua kk","1972","4","25","02:00","2.9","0"
"Halsua kk","1972","4","26","02:00","1.2","4"
"Halsua kk","1972","4","27","02:00","6.3","4"
"Halsua kk","1972","4","28","02:00","0.9","6"
"Halsua kk","1972","4","29","02:00","2.8","2"
"Halsua kk","1972","4","30","02:00","6.1","0"
"Halsua kk","1972","5","1","02:00","0","0"
"Halsua kk","1972","5","2","02:00","-1","-1"
"Halsua kk","1972","5","3","02:00","-1","-1"
"Halsua kk","1972","5","4","02:00","0.8","-1"
"Halsua kk","1972","5","5","02:00","0.3","-1"
"Halsua kk","1972","5","6","02:00","-1","-1"
"Halsua kk","1972","5","7","02:00","-1","-1"
"Halsua kk","1972","5","8","02:00","-1","-1"
"Halsua kk","1972","5","9","02:00","-1","-1"
"Halsua kk","1972","5","10","02:00","-1","-1"
"Halsua kk","1972","5","11","02:00","-1","-1"
"Halsua kk","1972","5","12","02:00","-1","-1"
"Halsua kk","1972","5","13","02:00","-1","-1"
"Halsua kk","1972","5","14","02:00","-1","-1"
"Halsua kk","1972","5","15","02:00","-1","-1"
"Halsua kk","1972","5","16","02:00","-1","-1"
"Halsua kk","1972","5","17","02:00","-1","-1"
"Halsua kk","1972","5","18","02:00","-1","-1"
"Halsua kk","1972","5","19","02:00","-1","-1"
"Halsua kk","1972","5","20","02:00","26.7","-1"
"Halsua kk","1972","5","21","02:00","13","-1"
"Halsua kk","1972","5","22","02:00","3.3","-1"
"Halsua kk","1972","5","23","02:00","2.9","-1"
"Halsua kk","1972","5","24","02:00","0.1","-1"
"Halsua kk","1972","5","25","02:00","0.1","-1"
"Halsua kk","1972","5","26","02:00","12.5","-1"
"Halsua kk","1972","5","27","02:00","4","-1"
"Halsua kk","1972","5","28","02:00","2.1","-1"
"Halsua kk","1972","5","29","02:00","7.4","-1"
"Halsua kk","1972","5","30","02:00","3.1","-1"
"Halsua kk","1972","5","31","02:00","4.2","-1"
"Halsua kk","1972","6","1","02:00","6","-1"
"Halsua kk","1972","6","2","02:00","3.5","-1"
"Halsua kk","1972","6","3","02:00","0.4","-1"
"Halsua kk","1972","6","4","02:00","0.8","-1"
"Halsua kk","1972","6","5","02:00","-1","-1"
"Halsua kk","1972","6","6","02:00","-1","-1"
"Halsua kk","1972","6","7","02:00","-1","-1"
"Halsua kk","1972","6","8","02:00","-1","-1"
"Halsua kk","1972","6","9","02:00","2.4","-1"
"Halsua kk","1972","6","10","02:00","-1","-1"
"Halsua kk","1972","6","11","02:00","-1","-1"
"Halsua kk","1972","6","12","02:00","-1","-1"
"Halsua kk","1972","6","13","02:00","-1","-1"
"Halsua kk","1972","6","14","02:00","-1","-1"
"Halsua kk","1972","6","15","02:00","0.2","-1"
"Halsua kk","1972","6","16","02:00","-1","-1"
"Halsua kk","1972","6","17","02:00","-1","-1"
"Halsua kk","1972","6","18","02:00","-1","-1"
"Halsua kk","1972","6","19","02:00","-1","-1"
"Halsua kk","1972","6","20","02:00","-1","-1"
"Halsua kk","1972","6","21","02:00","3","-1"
