"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Lumensyvyys [cm]"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","21","02:00","1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","22","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","23","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","24","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","25","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","26","02:00","0.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","27","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","28","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","29","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","30","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","5","31","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","1","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","2","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","3","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","4","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","5","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","6","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","7","02:00","0.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","8","02:00","0.4","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","9","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","10","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","11","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","12","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","13","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","14","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","15","02:00","7.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","16","02:00","0.3","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","17","02:00","2","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","18","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","19","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","20","02:00","4.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","21","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","22","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","23","02:00","0.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","24","02:00","0.2","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","25","02:00","0.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","26","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","27","02:00","4.7","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","28","02:00","0.8","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","29","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","6","30","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","1","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","2","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","3","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","4","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","5","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","6","02:00","2.9","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","7","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","8","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","9","02:00","0.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","10","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","11","02:00","2","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","12","02:00","5.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","13","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","14","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","15","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","16","02:00","0.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","17","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","18","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","19","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","20","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","21","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","22","02:00","22.4","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","23","02:00","9","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","24","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","25","02:00","0.2","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","26","02:00","0.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","27","02:00","0.9","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","28","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","29","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","30","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","7","31","02:00","11.7","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","1","02:00","3.9","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","2","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","3","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","4","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","5","02:00","2.9","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","6","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","7","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","8","02:00","2.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","9","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","10","02:00","7.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","11","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","12","02:00","2.9","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","13","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","14","02:00","23.7","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","15","02:00","0.3","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","16","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","17","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","18","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","19","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","20","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","21","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","22","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","23","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","24","02:00","1.2","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","25","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","26","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","27","02:00","2.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","28","02:00","0.7","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","29","02:00","2.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","30","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","8","31","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","1","02:00","0.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","2","02:00","11.9","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","3","02:00","0.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","4","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","5","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","6","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","7","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","8","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","9","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","10","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","11","02:00","6.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","12","02:00","4.4","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","13","02:00","5.9","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","14","02:00","6","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","15","02:00","5.7","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","16","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","17","02:00","0.6","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","18","02:00","4.7","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","19","02:00","17.7","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","20","02:00","0.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","21","02:00","0.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","22","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","23","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","24","02:00","5.4","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","25","02:00","16.6","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","26","02:00","0.3","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","27","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","28","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","29","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","9","30","02:00","3.4","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","1","02:00","0.3","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","2","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","3","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","4","02:00","4.1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","5","02:00","0","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","6","02:00","8","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","7","02:00","0.4","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","8","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","9","02:00","4","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","10","02:00","1.9","1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","11","02:00","1.4","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","12","02:00","3","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","13","02:00","3.4","2"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","14","02:00","0.3","5"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","15","02:00","-1","4"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","16","02:00","2.4","3"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","17","02:00","1.2","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","18","02:00","3.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","19","02:00","3.5","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","20","02:00","9.6","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","21","02:00","3.9","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","22","02:00","0.3","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","23","02:00","0.5","0"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","24","02:00","1.6","2"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","25","02:00","4.3","2"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","26","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","27","02:00","1.2","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","28","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","29","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","30","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","10","31","02:00","-1","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","11","1","02:00","3.4","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","11","2","02:00","5.8","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","11","3","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","11","4","02:00","0","-1"
"Kruunupyy Kokkola-Pietarsaari lentoasema","1971","11","5","02:00","0.5","-1"
